market,year,path,rows,first_ts,last_ts,duplicate_ts,gap_count_gt_1min,zero_volume,zero_range,stale_close_run_max,close_min,close_max,volume_sum
HG,2022,/workspaces/quant_project/data/raw/HG/2022.parquet,340489,2022-01-02 23:00:00+00:00,2022-12-30 21:59:00+00:00,0,9914,0,31442,9,3.133,5.039,12959151.0
HG,2023,/workspaces/quant_project/data/raw/HG/2023.parquet,337939,2023-01-02 23:00:00+00:00,2023-12-29 21:59:00+00:00,0,10865,0,44515,13,3.521,4.3535,15715985.0
HG,2024,/workspaces/quant_project/data/raw/HG/2024.parquet,343319,2024-01-01 23:00:00+00:00,2024-12-31 21:59:00+00:00,0,10156,0,41327,14,3.656,5.195,15914056.0
HG,2025,/workspaces/quant_project/data/raw/HG/2025.parquet,327150,2025-01-01 23:00:00+00:00,2025-12-31 21:59:00+00:00,0,18613,0,42368,6,4.0065,5.953,9134709.0
HG,2026,/workspaces/quant_project/data/raw/HG/2026.parquet,122526,2026-01-01 23:00:00+00:00,2026-05-14 23:59:00+00:00,0,4612,0,10620,7,5.2475,6.71,3958132.0
NG,2010,/workspaces/quant_project/data/raw/NG/2010.parquet,129186,2010-06-07 00:01:00+00:00,2010-12-31 21:14:00+00:00,0,23319,0,34765,16,3.244,5.193,14591790.0
NG,2011,/workspaces/quant_project/data/raw/NG/2011.parquet,225670,2011-01-02 23:00:00+00:00,2011-12-30 22:14:00+00:00,0,39424,0,63336,20,2.96,4.968,27459501.0
NG,2012,/workspaces/quant_project/data/raw/NG/2012.parquet,252215,2012-01-02 23:00:00+00:00,2012-12-31 22:14:00+00:00,0,37692,0,69651,20,1.902,3.991,32347075.0
NG,2013,/workspaces/quant_project/data/raw/NG/2013.parquet,253402,2013-01-01 23:00:00+00:00,2013-12-31 22:14:00+00:00,0,37126,0,70429,26,3.088,4.532,29712641.0
NG,2014,/workspaces/quant_project/data/raw/NG/2014.parquet,256366,2014-01-01 23:00:00+00:00,2014-12-31 22:14:00+00:00,0,35323,0,63390,24,2.888,6.424,27361575.0
NG,2015,/workspaces/quant_project/data/raw/NG/2015.parquet,263622,2015-01-01 23:00:00+00:00,2015-12-31 21:59:00+00:00,0,36011,0,72862,25,1.708,3.35,29243052.0
NG,2016,/workspaces/quant_project/data/raw/NG/2016.parquet,267718,2016-01-03 23:00:00+00:00,2016-12-30 21:59:00+00:00,0,36583,0,71696,18,1.612,3.898,23656799.0
NG,2017,/workspaces/quant_project/data/raw/NG/2017.parquet,297170,2017-01-02 23:00:00+00:00,2017-12-29 21:59:00+00:00,0,30433,0,77864,19,2.522,3.51,26338301.0
NG,2018,/workspaces/quant_project/data/raw/NG/2018.parquet,302212,2018-01-01 23:00:00+00:00,2018-12-31 21:59:00+00:00,0,27846,0,82266,34,2.535,4.876,27383763.0
NG,2019,/workspaces/quant_project/data/raw/NG/2019.parquet,307671,2019-01-01 23:00:00+00:00,2019-12-31 21:59:00+00:00,0,27776,0,91328,24,2.033,3.72,23968025.0
NG,2022,/workspaces/quant_project/data/raw/NG/2022.parquet,309575,2022-01-02 23:00:00+00:00,2022-12-30 21:59:00+00:00,0,27264,0,40935,9,3.643,10.006,18685885.0
NG,2023,/workspaces/quant_project/data/raw/NG/2023.parquet,315176,2023-01-02 23:00:00+00:00,2023-12-29 21:59:00+00:00,0,26060,0,59960,22,1.957,4.222,22450327.0
NG,2024,/workspaces/quant_project/data/raw/NG/2024.parquet,313841,2024-01-01 23:00:00+00:00,2024-12-31 21:59:00+00:00,0,27029,0,66507,14,1.537,4.192,26770642.0
NQ,2010,/workspaces/quant_project/data/raw/NQ/2010.parquet,177359,2010-06-07 00:00:00+00:00,2010-12-31 21:14:00+00:00,0,15648,0,37827,14,1699.25,2238.75,40909876.0
NQ,2011,/workspaces/quant_project/data/raw/NQ/2011.parquet,320356,2011-01-02 23:00:00+00:00,2011-12-30 21:14:00+00:00,0,21310,0,52250,29,1973.5,2435.25,70649891.0
NQ,2012,/workspaces/quant_project/data/raw/NQ/2012.parquet,319311,2012-01-03 11:00:00+00:00,2012-12-31 22:14:00+00:00,0,21679,0,58157,13,2303.5,2871.5,58512331.0
NQ,2013,/workspaces/quant_project/data/raw/NQ/2013.parquet,310946,2013-01-02 11:00:00+00:00,2013-12-31 22:14:00+00:00,0,22186,0,61411,22,2689.5,3594.25,54522385.0
NQ,2014,/workspaces/quant_project/data/raw/NQ/2014.parquet,311633,2014-01-02 11:00:00+00:00,2014-12-30 22:14:00+00:00,0,20293,0,52930,14,3406.25,4347.75,68357376.0
NQ,2015,/workspaces/quant_project/data/raw/NQ/2015.parquet,329967,2015-01-01 23:00:00+00:00,2015-12-31 21:59:00+00:00,0,16282,0,38914,35,3908.25,4739.0,62321320.0
NQ,2016,/workspaces/quant_project/data/raw/NQ/2016.parquet,336245,2016-01-03 23:00:00+00:00,2016-12-30 21:59:00+00:00,0,10926,0,31188,20,3868.25,4992.75,60852781.0
NQ,2017,/workspaces/quant_project/data/raw/NQ/2017.parquet,341471,2017-01-02 23:00:00+00:00,2017-12-29 21:59:00+00:00,0,6758,0,34338,11,4878.5,6545.5,63753222.0
NQ,2018,/workspaces/quant_project/data/raw/NQ/2018.parquet,349178,2018-01-01 23:00:00+00:00,2018-12-31 21:59:00+00:00,0,1098,0,4683,9,5837.0,7727.0,117299116.0
NQ,2019,/workspaces/quant_project/data/raw/NQ/2019.parquet,349846,2019-01-01 23:00:00+00:00,2019-12-31 21:59:00+00:00,0,663,0,2262,7,6138.5,8842.5,108426288.0
NQ,2020,/workspaces/quant_project/data/raw/NQ/2020.parquet,348930,2020-01-01 23:00:00+00:00,2020-12-31 21:59:00+00:00,0,978,0,1348,138,6628.75,12915.25,135572649.0
NQ,2021,/workspaces/quant_project/data/raw/NQ/2021.parquet,353393,2021-01-03 23:00:00+00:00,2021-12-31 21:59:00+00:00,0,457,0,569,5,12209.75,16756.0,130831968.0
NQ,2022,/workspaces/quant_project/data/raw/NQ/2022.parquet,354112,2022-01-02 23:00:00+00:00,2022-12-30 21:59:00+00:00,0,280,0,143,4,10495.75,16560.75,164713707.0
NQ,2023,/workspaces/quant_project/data/raw/NQ/2023.parquet,353358,2023-01-02 23:00:00+00:00,2023-12-29 21:59:00+00:00,0,336,0,399,6,10755.25,17163.0,155004366.0
NQ,2024,/workspaces/quant_project/data/raw/NQ/2024.parquet,354954,2024-01-01 23:00:00+00:00,2024-12-31 21:59:00+00:00,0,359,0,410,4,16336.0,22150.0,146380750.0
NQ,2025,/workspaces/quant_project/data/raw/NQ/2025.parquet,352509,2025-01-01 23:00:00+00:00,2025-12-31 21:59:00+00:00,0,334,0,261,4,16499.0,26396.25,137337076.0
NQ,2026,/workspaces/quant_project/data/raw/NQ/2026.parquet,130237,2026-01-01 23:00:00+00:00,2026-05-14 23:59:00+00:00,0,131,0,64,3,22973.0,29779.75,51353817.0
RTY,2017,/workspaces/quant_project/data/raw/RTY/2017.parquet,107898,2017-07-09 22:01:00+00:00,2017-12-29 21:59:00+00:00,0,16430,0,27642,12,1348.9,1561.4,7382319.0
RTY,2018,/workspaces/quant_project/data/raw/RTY/2018.parquet,107898,2017-07-09 22:01:00+00:00,2017-12-29 21:59:00+00:00,0,16430,0,27642,12,1348.9,1561.4,7382319.0
RTY,2019,/workspaces/quant_project/data/raw/RTY/2019.parquet,340785,2025-01-01 23:00:00+00:00,2025-12-31 21:59:00+00:00,0,8830,0,21997,8,1710.6,2604.7,45620311.0
RTY,2020,/workspaces/quant_project/data/raw/RTY/2020.parquet,345162,2022-01-02 23:00:00+00:00,2022-12-30 21:59:00+00:00,0,7210,0,18892,6,1641.2,2287.8,52200667.0
RTY,2021,/workspaces/quant_project/data/raw/RTY/2021.parquet,340801,2024-01-01 23:00:00+00:00,2024-12-31 21:59:00+00:00,0,10488,0,24238,8,1906.4,2475.8,44376907.0
RTY,2022,/workspaces/quant_project/data/raw/RTY/2022.parquet,328841,2019-01-01 23:00:00+00:00,2019-12-31 21:59:00+00:00,0,15826,0,48145,10,1324.3,1687.5,30770685.0
RTY,2023,/workspaces/quant_project/data/raw/RTY/2023.parquet,128155,2026-01-01 23:00:00+00:00,2026-05-14 23:59:00+00:00,0,1798,0,5398,5,2410.3,2917.6,18820015.0
RTY,2024,/workspaces/quant_project/data/raw/RTY/2024.parquet,338085,2020-01-01 23:00:00+00:00,2020-12-31 21:59:00+00:00,0,8106,0,20960,105,949.6,2031.9,43017432.0
RTY,2025,/workspaces/quant_project/data/raw/RTY/2025.parquet,342436,2023-01-02 23:00:00+00:00,2023-12-29 21:59:00+00:00,0,8779,0,29054,15,1639.1,2096.2,48071347.0
RTY,2026,/workspaces/quant_project/data/raw/RTY/2026.parquet,305953,2018-01-01 23:00:00+00:00,2018-12-31 21:59:00+00:00,0,24360,0,50070,9,1254.6,1746.2,31529107.0
SI,2010,/workspaces/quant_project/data/raw/SI/2010.parquet,167831,2010-06-07 00:00:00+00:00,2010-12-31 21:14:00+00:00,0,19456,0,45205,12,17.23,30.975,5575809.0
SI,2011,/workspaces/quant_project/data/raw/SI/2011.parquet,319561,2011-01-02 23:00:00+00:00,2011-12-30 22:14:00+00:00,0,22525,0,44007,11,26.155,49.72,13576069.0
SI,2012,/workspaces/quant_project/data/raw/SI/2012.parquet,307171,2012-01-02 23:00:00+00:00,2012-12-31 22:14:00+00:00,0,27360,0,60491,13,26.085,37.48,8521897.0
SI,2013,/workspaces/quant_project/data/raw/SI/2013.parquet,308568,2013-01-01 23:00:00+00:00,2013-12-31 22:14:00+00:00,0,24214,0,65466,12,18.185,32.46,9214023.0
SI,2014,/workspaces/quant_project/data/raw/SI/2014.parquet,294674,2014-01-01 23:00:00+00:00,2014-12-30 22:14:00+00:00,0,29271,0,92651,22,14.49,22.17,8600360.0
SI,2015,/workspaces/quant_project/data/raw/SI/2015.parquet,295959,2015-01-01 23:00:00+00:00,2015-12-31 21:59:00+00:00,0,32492,0,100819,20,13.625,18.49,8838460.0
SI,2016,/workspaces/quant_project/data/raw/SI/2016.parquet,316873,2016-01-03 23:00:00+00:00,2016-12-30 21:59:00+00:00,0,22004,0,86619,17,13.735,21.145,12431735.0
